%Longitude	Latitude	Mean Vel (mm/yr)	Stand Dev  V (mm/yr)
-123.0001941	49.25139124	-14.513	6.4168
-122.0025755	49.14657981	-2.635	5.9358
-122.7911203	49.27859092	-3.604	4.3148
-122.6573744	49.10381883	-3.626838726	5.300536071
-123.1471337	49.1151168	-3.089546685	1.204393767
-122.5385361	49.22115543	-2.422483432	1.910404533
-123.9532439	49.18393062	6.065	5.4818
-123.763077	49.47222733	-0.658	4.0788
-122.8600867	49.19208677	-1.666977001	2.496786973
-123.0827713	49.00604286	-0.501	3.2358
-123.0893457	49.27576422	-2.268522201	1.946177065
-121.8497969	44.24578726	-5.639	2.7298
-123.0155786	49.26989234	2.931876222	2.142144638
-123.021821	49.27505552	0.65033964	1.44353021
-122.797395	45.48580656	-1.165559611	0.274074588
-121.7858328	43.22436094	-1.267692664	0.619948799
-122.0893934	42.97599989	-3.25884087	1.715424811
-122.135997	42.89587768	2.732865885	4.739234708
-122.0162978	42.92293561	0.425104915	0.939218319
-122.1491584	42.93425227	-0.181954988	1.514342477
-122.7973957	45.48580632	-2.728	0.9878
-121.5652844	44.5592408	-5.789	6.4658
-121.7125805	44.54839751	0.299	2.2218
-122.1021439	44.5680491	-0.624	1.5168
-122.2360245	44.60214486	0.839	2.5888
-122.9905285	45.52311888	-0.261406309	0.631127829
-121.7838806	42.2241712	-2.225456281	0.710529178
-121.9026657	44.17858762	-6	4.9998
-121.8251672	44.08525025	7.962	1.5638
-122.9755308	45.30005184	-0.176922118	0.370439101
-122.4445659	43.73833854	-2.022607188	0.984554269
-123.0008075	44.89666122	-0.107786479	0.182044641
-124.0745163	44.51452218	-0.664895637	3.982658132
-122.8159466	45.23412943	-0.246	2.3058
-123.1619075	44.04504687	1.309	4.2538
-124.111315	43.98641485	-1.135	4.2008
-122.4159183	45.49764291	-1.535	2.5808
-123.1544352	44.28983605	-0.356	2.5978
-123.0253095	45.51908688	0.042	2.3578
-121.6693323	42.2888147	3.914	1.3408
-121.6696547	42.28881097	2.579	1.6288
-121.6693328	42.28881458	-2.161	0.4298
-121.669655	42.28881091	-1.899	0.4478
-123.2090882	45.18789636	-1.367	2.3348
-124.0611517	44.67484749	2.199	4.8938
-122.4852705	43.74637952	-1.352	3.9538
-124.0488394	44.62527237	-2.774	0.9618
-122.727591	44.39765826	-0.255	4.9248
-122.9553293	44.97298594	0.551	2.8308
-123.1110842	44.55834967	-0.74	2.8648
-123.8462023	45.4855853	-2.226	4.3978
-122.4828184	44.84113054	-0.127589792	0.474414558
-124.4132975	42.44201558	1.480413721	0.476698115
-123.230999	42.69160976	0.447571857	0.664190621
-122.6096357	42.72714188	-0.274078111	0.874655072
-121.6726839	45.34453072	-0.72289948	0.920474265
-122.329538	49.05217409	3.033	1.0198
-122.0025769	49.1465807	-3.199	1.0888
-123.3278409	44.91907789	-0.098105885	2.557060755
-123.32784	44.91907819	-1.514357283	1.413527669
-122.5815353	45.56648877	5.357035997	1.630460958
-121.56368	45.5183031	-2.268233781	0.324406449
-122.0398157	44.09687788	1.455	2.3028
-123.0827708	49.00604326	0.06072108	1.288864743
-124.1077981	43.70100706	-1.289833111	2.783057788
-123.3593858	43.23501745	-1.802277916	1.202604787
-123.9224229	45.9842255	0.863708475	3.694452879
-121.5287667	45.46431438	-1.559	1.9988
-121.8839605	45.69424421	0.668734836	1.851092044
-121.650488	44.1924434	0.544	1.7738
-123.3288263	42.98690886	-0.085405098	0.056851385
-121.7766799	44.02385439	-6.772	3.8258
-121.6195672	44.08980018	-0.86	2.1888
-123.8307675	45.45512942	-0.150433359	2.112590097
-122.562823	45.77957647	-6.79954386	2.704867286
-121.8175634	44.05964204	-7.197987846	0.325431754
-121.8175795	44.05967838	4.110121993	1.816715104
-121.5972754	45.13126447	-1.306014427	0.582578206
-123.2983009	43.63411132	-0.706355488	0.443546871
-122.335	47.604	-0.787340176	0.1
-122.401	47.666	-0.827340176	0.17
-122.401	47.666	-0.747340176	0.17
-122.899	47.043	-0.977340176	0.22
-122.755	48.1125	-0.747340176	0.22
-122.216	47.979	-0.717340176	0.22
-122.216	47.979	-0.537340176	0.22
-124.60417	48.36694	3.022659824	0.22
-122.989	47.044	-0.837340176	0.23
-122.992	47.046	-0.737340176	0.23
-122.992	47.046	-0.637340176	0.23
-122.951	47.037	-0.837340176	0.24
-122.949	47.036	-0.737340176	0.24
-122.947	47.035	-0.637340176	0.24
-122.21556	47.97944	-0.617340176	0.24
-122.179	48.051	-0.277340176	0.24
-123.005	47.054	-0.937340176	0.25
-122.434	47.246	-0.797340176	0.25
-122.434	47.249	-0.797340176	0.25
-122.179	48.051	-0.307340176	0.25
-122.464	47.275	-0.287340176	0.25
-123.43139	48.11972	0.792659824	0.25
-123.43139	48.11861	0.842659824	0.25
-123.4325	48.11611	0.922659824	0.25
-122.17417	48.1	-0.787340176	0.26
-123.017	47.064	-0.637340176	0.26
-122.861	46.815	-0.567340176	0.26
-122.17917	48.05139	-0.477340176	0.26
-123.455	48.11944	0.462659824	0.26
-123.40833	48.10944	0.882659824	0.26
-123.4775	48.11389	1.022659824	0.26
-124.52972	48.34833	3.452659824	0.26
-123.31861	48.10694	0.632659824	0.27
-122.952	46.718	-1.097340176	0.28
-122.953	46.703	-1.007340176	0.28
-123.046	47.086	-0.637340176	0.28
-122.174	48.1	-0.617340176	0.28
-122.174	48.1	-0.457340176	0.28
-123.27194	48.10694	0.482659824	0.28
-123.101	47.121	-0.637340176	0.29
-123.63111	48.11806	1.312659824	0.29
-123.101	47.121	-1.137340176	0.3
-123.17083	48.09333	0.222659824	0.3
-123.68222	48.1225	1.362659824	0.3
-124.612	48.367	3.122659824	0.3
-123.1	47.125	-0.437340176	0.31
-123.04528	48.08028	-0.437340176	0.31
-123.7325	48.13639	1.352659824	0.31
-123.74444	48.13611	1.422659824	0.31
-122.905	46.282	-1.377340176	0.32
-123.096	47.135	-0.547340176	0.32
-123.10083	48.07972	0.182659824	0.32
-123.10083	48.07806	0.232659824	0.32
-123.72722	48.16111	1.512659824	0.32
-123.8	48.13972	1.712659824	0.32
-123.03278	48.04639	0.332659824	0.33
-123.83833	48.15083	1.762659824	0.33
-124.37583	48.28306	2.712659824	0.33
-122.912	46.143	-0.737340176	0.34
-123.117	47.192	-0.237340176	0.34
-122.99778	48.02278	0.472659824	0.34
-122.857	46.034	-0.787340176	0.35
-122.90083	48.05389	-0.147340176	0.35
-122.96694	48.05028	0.262659824	0.35
-122.91556	48.05278	0.452659824	0.35
-123.93444	48.15833	1.822659824	0.35
-123.128	47.209	-1.137340176	0.36
-124.29944	48.26361	2.752659824	0.36
-124.615	48.366	2.762659824	0.36
-123.129	47.215	-1.137340176	0.37
-123.76361	46.20306	1.162659824	0.37
-123.76306	46.20389	1.202659824	0.37
-123.76472	46.20694	1.302659824	0.37
-123.78833	46.19472	1.582659824	0.37
-124.25944	48.25472	2.102659824	0.37
-124.376	48.283	2.522659824	0.37
-124.529	48.348	3.202659824	0.37
-123.129	47.215	-0.937340176	0.38
-123.83194	46.18917	0.672659824	0.38
-123.75167	46.16667	0.692659824	0.38
-123.73111	46.17	0.742659824	0.38
-123.81889	46.18972	0.772659824	0.38
-123.83056	46.19028	0.772659824	0.38
-123.755	46.17167	1.502659824	0.38
-123.82694	46.18861	1.532659824	0.38
-123.80972	46.19056	1.532659824	0.38
-123.83083	46.18833	1.692659824	0.38
-123.8425	46.17139	1.862659824	0.38
-123.85556	46.18722	1.982659824	0.38
-124.3	48.259	2.592659824	0.38
-123.129	47.216	-0.537340176	0.39
-123.84667	46.18972	0.842659824	0.39
-123.83306	46.18944	1.182659824	0.39
-123.68861	46.16944	1.272659824	0.39
-123.83667	46.16639	1.412659824	0.39
-123.83389	46.18972	1.412659824	0.39
-123.66417	46.16306	1.432659824	0.39
-123.67944	46.17306	1.502659824	0.39
-123.68417	46.17056	1.642659824	0.39
-123.84278	46.17306	1.662659824	0.39
-123.8425	46.17222	1.872659824	0.39
-124.259	48.249	1.932659824	0.39
-123.86056	46.15278	2.212659824	0.39
-123.67083	46.16556	0.672659824	0.4
-123.58694	46.18611	1.152659824	0.4
-123.84222	46.17333	1.402659824	0.4
-123.83694	46.17194	1.842659824	0.4
-123.83667	46.16972	1.932659824	0.4
-123.85806	46.15222	2.202659824	0.4
-123.87361	46.14306	2.212659824	0.4
-124.228	48.193	2.262659824	0.4
-124.22278	48.19	2.292659824	0.4
-123.91611	46.09806	2.462659824	0.4
-123.92083	46.11	2.492659824	0.4
-123.96556	46.20833	2.552659824	0.4
-123.96083	46.20694	2.612659824	0.4
-123.96028	46.20056	3.132659824	0.4
-123.137	47.241	-0.537340176	0.41
-123.839	48.147	1.542659824	0.41
-123.935	48.158	1.622659824	0.41
-123.96194	46.20278	2.202659824	0.41
-123.91944	46.10806	2.492659824	0.41
-123.91278	46.06056	2.542659824	0.41
-123.96389	46.205	2.612659824	0.41
-123.92778	46.14917	2.682659824	0.41
-123.2825	46.11278	-0.237340176	0.42
-123.37444	46.13306	0.072659824	0.42
-123.40667	46.15667	0.362659824	0.42
-123.801	48.14	1.492659824	0.42
-123.91306	46.06056	2.232659824	0.42
-123.88667	46.14361	2.402659824	0.42
-123.91444	46.08667	2.532659824	0.42
-123.95167	46.20667	2.742659824	0.42
-123.955	46.20611	2.832659824	0.42
-123.95333	46.20639	2.862659824	0.42
-123.375	46.13278	-0.067340176	0.43
-123.29972	46.11083	-0.017340176	0.43
-123.34972	46.12139	0.002659824	0.43
-123.745	48.137	1.192659824	0.43
-123.92139	46.00139	2.172659824	0.43
-123.94361	46.19917	2.422659824	0.43
-123.91944	46.02806	2.482659824	0.43
-123.20278	46.10444	0.222659824	0.44
-123.734	48.136	1.112659824	0.44
-123.40806	46.16056	-0.537340176	0.45
-123.40722	46.16056	-0.537340176	0.45
-123.07361	46.09889	0.232659824	0.45
-123.727	48.135	1.252659824	0.45
-123.92528	46.19111	2.492659824	0.45
-123.04694	46.09944	0.072659824	0.46
-123.04528	46.09583	0.102659824	0.46
-123.90139	46.14806	2.402659824	0.46
-122.9375	46.12639	-0.337340176	0.47
-122.93306	46.13583	-0.237340176	0.47
-122.93528	46.08917	-0.227340176	0.47
-122.93722	46.12667	-0.227340176	0.47
-123.23944	46.12139	0.812659824	0.47
-123.90417	46.15389	1.772659824	0.47
-123.172	47.317	0.762659824	0.48
-123.161	47.333	-0.337340176	0.49
-123.91194	46.15361	2.862659824	0.49
-123.159	47.369	-0.037340176	0.5
-123.967	46.707	-0.097340176	0.5
-123.441	48.125	0.762659824	0.5
-123.682	48.122	1.122659824	0.5
-123.153	47.376	-0.137340176	0.52
-124.003	46.715	1.032659824	0.52
-123.143	47.401	-0.437340176	0.53
-123.142	47.403	-0.337340176	0.54
-122.3222	47.6649	-0.767454637	0.54332364
-122.3222	47.6649	-0.672054637	0.54332364
-123.125	47.431	-0.237340176	0.55
-123.478	48.105	0.732659824	0.55
-123.441	48.125	0.762659824	0.55
-123.632	48.118	1.072659824	0.56
-124.019	46.723	0.842659824	0.56
-123.12	47.44	-0.137340176	0.57
-123.431	48.119	0.762659824	0.57
-123.113	47.449	-0.137340176	0.58
-123.58611	46.18556	0.122659824	0.58
-123.431	48.118	0.632659824	0.58
-123.433	48.119	0.732659824	0.58
-124.026	46.726	1.512659824	0.58
-123.101	47.464	-0.237340176	0.6
-123.433	48.116	0.862659824	0.6
-124.057	46.73	1.362659824	0.6
-123.408	48.109	0.732659824	0.62
-123.408	48.11	0.862659824	0.62
-124.08	46.744	1.182659824	0.62
-123.319	48.107	0.562659824	0.63
-123.272	48.107	0.452659824	0.64
-124.085	46.787	1.432659824	0.64
-122.759	48.112	-0.937340176	0.65
-123.85556	46.18778	1.612659824	0.65
-124.09	46.796	1.532659824	0.66
-123.319	48.097	0.422659824	0.67
-123.043	47.548	0.162659824	0.68
-123.272	48.093	0.332659824	0.68
-123.267	48.093	0.162659824	0.69
-123.026	47.558	0.262659824	0.69
-123.182	48.081	-0.437340176	0.7
-123.169	48.079	0.162659824	0.7
-124.096	46.817	1.772659824	0.7
-123.42833	46.175	-0.617340176	0.71
-122.972	47.618	-0.047340176	0.71
-123.169	48.079	0.162659824	0.71
-122.941	47.638	0.062659824	0.72
-124.101	46.836	1.112659824	0.72
-123.83694	46.17167	2.012659824	0.73
-123.042	48.051	0.262659824	0.74
-124.105	46.846	1.052659824	0.74
-123.375	46.13278	-0.227340176	0.75
-123.036	48.047	0.262659824	0.75
-124.291	48.072	1.832659824	0.75
-122.899	47.69	0.062659824	0.76
-123.018	48.023	0.462659824	0.76
-124.108	46.855	1.562659824	0.76
-122.888	47.714	0.162659824	0.77
-122.871	48.002	0.272659824	0.77
-124.109	46.858	1.392659824	0.78
-122.886	47.946	0.262659824	0.8
-124.073	46.861	0.882659824	0.8
-122.897	47.765	0.562659824	0.81
-122.905	47.772	0.562659824	0.82
-124.111	46.866	1.652659824	0.82
-124.052	46.871	1.232659824	0.84
-122.4386	47.258609	-0.9103	0.848930371
-122.4375	47.257627	-1.0331	0.849293912
-122.4671	47.275962	-0.9103	0.854818759
-124.048	46.884	1.302659824	0.86
-122.4376	47.232478	-1.1208	0.862515806
-122.4365	47.232771	-1.3489	0.865891632
-124.105	46.884	1.502659824	0.88
-123.90333	46.15389	2.892659824	0.89
-122.4374	47.257259	-0.9804	0.893352298
-122.4377	47.257833	-1.1559	0.893775772
-122.4051	47.239499	-1.1208	0.894724336
-124.104	46.895	1.722659824	0.9
-122.467	47.276026	-0.8401	0.902338749
-122.4683	47.276299	-0.7524	0.902837935
-122.4655	47.17881	-0.6997	0.911466901
-122.5304	47.28041	-0.612	0.916741834
-124.104	46.898	1.592659824	0.92
-122.5129	47.297697	-0.6997	0.920852078
-122.5143	47.297594	-0.7172	0.922137938
-123.92194	46.14944	2.922659824	0.93
-123.957	46.918	0.792659824	0.94
-122.376	47.240628	-0.6296	0.952675741
-123.925	46.929	1.182659824	0.96
-122.4053	47.239529	-1.2611	0.961399574
-122.4052	47.239426	-1.1559	0.96164694
-123.881	46.939	0.962659824	0.98
-122.93306	46.08972	-0.397340176	0.99
-123.92611	46.125	2.302659824	0.99
-123.6019	46.975248	0.6148	0.995970063
-122.41	47.27	-1.567340176	1
-123.819	46.978	1.162659824	1
-123.881	46.939	1.142659824	1
-122.5127	47.297773	-0.5769	1.001056333
-123.6018	46.975142	0.579	1.012040969
-123.599	46.975966	0.3469	1.013437791
-124.382	47.948	1.022659824	1.02
