-119.65,41.839,0.48852,1.198
-119.61,41.853,-2.3492,1.054
-119.58,41.851,-0.47421,0.89
-119.49,41.867,-1.0712,1.063
-119.71,41.929,1.2674,1.118
-119.71,41.806,-1.3515,0.937
-122.2,49.072,-1.3453,0.83
-120.1,42.761,0.33747,0.5
-120.01,42.196,-1.3097,1.147
-123.49,48.39,1.8005,0.727
-123.49,48.39,2.0195,0.87
-123.49,48.39,1.0585,0.5
-117.14,46.133,1.1459,0.628
-118.17,40.146,0.80028,0.512
-122.14,48.174,-1.2634,0.5
-120.18,45.708,-1.1701,0.517
-121.37,43.821,-0.2343,0.766
-122.67,42.181,-0.015316,0.689
-125.14,48.835,3.0407,0.596
-117.2,40.413,0.070931,0.5
-117.86,42.412,0.099733,0.877
-117.21,40.516,0.086931,0.722
-118.29,41.439,-0.93241,0.762
-122.33,49.052,-1.5363,0.644
-123,49.251,0.57508,0.704
-117.65,49.312,1.7112,0.561
-122,49.147,-0.28558,0.784
-122.79,49.279,-0.81392,0.964
-124.98,49.7,4.8937,0.812
-123.07,49.032,-0.63192,0.831
-123.43,48.429,-0.34558,0.591
-121.44,49.379,0.1339,0.815
-119.5,49.885,-1.801,0.959
-122.66,49.104,-0.78592,0.952
-123.15,49.115,-0.80931,0.602
-122.54,49.221,-2.11,0.646
-123.45,48.648,0.37342,0.578
-119.59,49.499,0.16604,0.941
-123.76,49.472,1.4031,0.833
-122.86,49.192,-0.98092,0.574
-119.64,49.565,-0.29767,0.606
-123.8,48.559,1.3539,0.589
-123.15,49.699,1.5541,1.005
-123.08,49.006,-0.63292,1.267
-123.09,49.276,-1.2169,0.569
-123.39,48.481,0.80442,0.633
-117.35,48.987,0.14148,0.641
-122.48,48.755,0.58909,0.515
-121.32,44.057,-0.17923,0.5
-122.13,47.617,-1.0102,0.619
-119.83,40.729,-1.446,0.874
-118.99,47.933,-0.21412,0.515
-124.25,47.539,1.6738,0.778
-121.85,44.246,-1.6505,1.218
-119.09,40.77,-0.53515,1.392
-118.05,40.949,0.88681,0.5
-121.05,42.407,-1.1074,0.652
-122.93,48.016,0.10245,1.802
-121.31,44.089,-0.32423,0.717
-119.38,40.272,-0.71429,1.113
-120.33,46.883,-1.2807,0.827
-120.11,41.23,1.4008,1.019
