167.655	-45.314	-24.48	42.52	-23.78	-3.16	0.85	1.3
167.739	-45.562	-25.62	34.15	-24.64	-11.48	0.71	0.75
169.198	-45.388	-29.64	31.32	-28.01	-13.31	0.67	0.71
169.191	-44.872	-29.14	33.77	-28	-10.87	0.78	0.67
169.769	-44.318	-28.21	31.13	-27.29	-13.11	1.19	1.26
169.379	-44.483	-27.25	32.11	-26.38	-12.4	2.11	2.24
169.763	-44.734	-29.86	31.22	-28.54	-13.02	0.97	1.31
170.326	-44.804	-32.38	29.86	-30.69	-13.99	1.47	1.51
170.844	-45.374	-32.26	33.69	-29.74	-9.79	0.86	0.71
170.695	-44.744	-32.67	30.99	-30.84	-12.6	1.94	1.73
170.965	-44.83	-33.97	33.28	-31.91	-10.11	1.32	1.19
170.654	-44.968	-34.15	31.27	-32.13	-12.35	1.41	1.31
170.603	-44.3	-31.85	31.8	-30.5	-11.85	0.5	0.56
171.057	-44.401	-32.8	31.28	-31.11	-12.05	0.62	0.58
171.258	-44.443	-33.18	31.27	-31.34	-11.91	0.53	0.66
170.278	-44.139	-28.87	32.53	-27.85	-11.35	2.31	1.39
170.92	-44.122	-32.17	32.25	-30.82	-11.18	0.58	0.64
171.103	-44.091	-32.57	31.36	-31.16	-11.94	0.52	0.9
171.299	-44.205	-33.28	31.2	-31.65	-11.95	0.53	0.57
171.565	-44.008	-33.51	31.15	-31.94	-11.81	0.61	0.59
171.361	-43.747	-32.2	31.13	-30.99	-11.98	0.69	0.81
171.742	-43.468	-31.18	31.42	-30.04	-11.42	0.52	0.54
172.137	-43.38	-32.63	31.26	-31.38	-11.29	0.41	0.44
172.38	-43.27	-32.25	31.83	-30.98	-10.54	0.55	0.48
172.548	-43.118	-31.11	31.82	-29.91	-10.43	0.56	0.64
172.824	-43.078	-32.19	32.02	-30.89	-10.02	0.58	0.61
172.693	-42.987	-30.51	32.48	-29.36	-9.66	0.64	0.81
172.813	-42.907	-30.49	30.65	-29.36	-11.4	0.76	0.96
172.503	-42.894	-27.97	31.52	-27.01	-10.76	0.6	0.6
172.692	-42.838	-29.28	31.4	-28.28	-10.74	0.79	1.09
173.026	-42.786	-30.45	30.38	-29.34	-11.52	0.7	0.51
172.643	-42.744	-26.08	32.29	-25.2	-9.89	0.74	0.76
173.01	-42.687	-29.22	31.73	-28.21	-10.18	0.54	0.43
172.935	-42.474	-23.1	34.15	-22.34	-7.81	0.54	0.41
173.697	-42.42	-31.19	30.4	-30.11	-11	0.94	1.03
173.612	-42.311	-27.81	31.36	-26.88	-10.1	0.54	0.7
173.224	-42.272	-21.68	35.15	-20.98	-6.6	0.43	0.45
173.429	-42.135	-21.82	34.52	-21.16	-7.08	0.49	0.51
172.735	-42.014	-10.79	41.38	-10.59	-0.73	0.91	0.86
173.602	-41.978	-22.22	35.06	-21.63	-6.41	0.49	0.55
173.346	-41.958	-15.94	38.1	-15.49	-3.56	0.46	0.43
172.359	-41.821	-5.82	42.68	-5.99	0.29	0.45	0.46
172.118	-42.029	-5.45	42.23	-5.54	-0.33	0.45	0.43
172.5	-41.729	-6.73	43.35	-6.92	1.07	0.55	0.52
172.28	-41.722	-4.7	42.52	-5.01	0.08	0.47	0.47
173.395	-41.7	-12.03	40.18	-11.81	-1.44	0.45	0.43
172.762	-41.699	-6.8	42.62	-6.89	0.53	0.56	0.47
173.058	-41.627	-8.09	41.41	-8.11	-0.46	0.66	0.53
173.998	-41.616	-17.08	36.35	-16.66	-4.82	0.44	0.48
172.541	-41.552	-5.88	42.53	-6.23	0.28	0.48	0.44
173.802	-41.543	-12.48	38.89	-12.23	-2.43	0.5	0.55
173.396	-41.474	-8.77	40.9	-8.78	-0.72	0.51	0.48
175.332	-41.399	-32.74	31.21	-31.91	-8.94	0.53	0.58
174.022	-41.348	-12	38.75	-11.84	-2.4	0.51	0.45
172.828	-41.525	-6.5	42.06	-6.73	0.02	0.52	0.51
174.711	-41.341	-23.2	33.47	-22.72	-7.16	0.53	0.46
172.984	-41.333	-5.94	41.77	-6.29	-0.16	0.48	0.42
174.828	-41.294	-24.24	32.9	-23.75	-7.64	0.52	0.55
174.628	-41.277	-19.11	36.31	-18.73	-4.38	0.56	0.57
173.432	-41.276	-7.25	40.77	-7.44	-0.82	0.44	0.45
174.778	-41.231	-20.97	34.45	-20.57	-6.13	0.62	0.45
175.399	-41.192	-29.62	29.97	-28.97	-10.13	0.46	0.41
174.874	-41.183	-21.64	34.03	-21.24	-6.47	0.56	0.57
175.652	-41.18	-30.53	29.01	-29.77	-10.9	0.48	0.42
175.513	-41.128	-29.3	29.37	-28.66	-10.64	0.42	0.51
175.39	-41.075	-25.35	30.35	-24.82	-9.76	0.41	0.41
173.868	-40.854	-5.99	40.43	-6.39	-0.84	2.23	1.38
175.443	-40.797	-20.12	32.26	-19.85	-7.81	0.42	0.4
176.006	-40.58	-23.19	29.38	-22.88	-10.25	0.61	0.56
175.625	-40.51	-17.58	34.12	-17.52	-5.81	0.46	0.46
175.259	-40.493	-12.71	35.99	-12.83	-4.22	0.61	0.52
176.453	-40.385	-19.13	26.17	-18.82	-13.11	0.77	0.66
175.488	-40.24	-9.18	35.48	-9.45	-4.55	0.72	0.6
175.881	-40.211	-11.82	31.54	-11.95	-8.19	0.48	0.56
176.339	-40.181	-13.33	27.92	-13.28	-11.45	0.64	0.56
176.783	-40.093	-11.1	22.87	-10.95	-16.15	0.93	0.67
176.497	-40.001	-10.9	27.27	-10.97	-11.98	0.57	0.49
176.872	-39.795	-9.12	24.93	-9.23	-14.02	0.55	0.58
