%Lat	Lon	Elevation	Run dist 	Dist -20 km	Uplift rate 	Error 
						
%(deg N)	(deg E)	(m)	(km)	(km)	(mm/yr)	(mm/yr)
45.91639	-123.89	29.403	665.93	24.85	3.06	1.36
						
45.91139	-123.88444	33.066	665.23	25.32	2.64	0.44
						
45.91139	-123.88417	33.139	665.22	25.34	2.66	1.36
						
45.90833	-123.82667	70.137	660.23	29.82	2.54	1.38
						
45.90778	-123.80417	93.809	658.5	31.56	2.38	1.38
						
45.90778	-123.80389	94.383	658.44	31.58	2.78	0.44
						
45.90722	-123.78639	100.33	657.05	32.94	2.25	0.44
						
45.90361	-123.87278	40.945	663.99	26.29	2.21	1.37
						
45.90167	-123.75889	121.296	654.81	35.12	1.88	0.44
						
45.8925	-123.75528	131.443	653.71	35.48	1.8	1.38
						
45.88361	-123.75833	147.908	652.65	35.32	1.88	0.44
						
45.87583	-123.76139	174.823	651.7	35.15	2.02	0.44
						
45.85222	-123.76472	153.503	648.16	35.1	1.65	0.44
						
45.83889	-123.77056	112.881	646.41	34.77	1.66	0.43
						
45.82694	-123.77944	82.284	644.73	34.19	1.74	0.43
						
45.81333	-123.76889	55.741	642.76	35.12	1.52	0.44
						
45.795	-123.81389	51.587	638.35	31.8	1.9	0.43
						
45.78056	-123.82333	26.256	636.5	31.19	1.94	0.42
						
45.7725	-123.83028	12.073	635.39	30.72	1.93	0.42
						
45.76139	-123.83306	8.043	633.54	30.6	1.51	1.16
						
45.76139	-123.83333	7.34	633.73	30.58	1.88	0.42
						
45.74889	-123.83806	9.626	632.18	30.32	1.59	0.41
						
45.72889	-123.85417	12.198	629.18	29.24	1.82	0.41
						
45.71056	-123.88972	7.453	623.72	26.64	1.94	0.42
						
45.70917	-123.85667	9.43	624.45	29.22	1.8	0.4
						
45.68861	-123.92222	9.32	617.18	24.3	2.06	0.84
						
45.68694	-123.8875	2.936	619.97	27.01	1.81	0.4
						
45.66528	-123.92583	8.325	614.49	24.22	2	0.39
						
45.66528	-123.92583	7.903	614.5	24.22	2	0.4
						
45.65417	-123.92833	25.901	613.31	24.12	1.67	0.4
						
45.64361	-123.935	4.906	612	23.69	1.48	0.72
						
45.63444	-123.94	6.628	611.02	23.37	1.9	0.4
						
45.63167	-123.94	5.903	610.52	23.4	1.88	0.68
						
