%Lat	Lon	Elevation	Run dist 	Dist -20 km	Uplift rate 	Error 
						
%(deg N)	(deg E)	(m)	(km)	(km)	(mm/yr)	(mm/yr)
43.71444	-124.08722	5.443	341.32	10.35	0.88	0.46
						
43.71417	-124.08722	5.442	341.31	10.34	0.77	0.45
						
43.71306	-124.08806	5.669	340.9	10.27	0.79	0.44
						
43.71111	-124.09111	5.734	340.7	10.01	0.32	0.45
						
43.71	-124.09167	5.992	340.47	9.96	0.64	0.44
						
43.7075	-124.09528	6.049	339.86	9.65	0.86	0.43
						
43.7075	-124.09972	3.624	340.26	9.29	1.4	1.92
						
43.70694	-124.09583	6.031	339.91	9.6	0.85	1.91
						
43.70667	-124.09389	7.949	339.97	9.76	0.86	0.44
						
43.7	-124.10694	9.623	337.78	8.66	0.44	1.87
						
43.69889	-124.10444	4.985	338.16	8.86	0.68	1.88
						
43.69667	-124.12	20.93	336.62	7.59	0.53	1.85
						
43.69361	-124.12361	20.713	336.04	7.28	0.67	1.84
						
43.68861	-124.14139	25.078	334.21	5.82	1.15	0.37
						
43.675	-124.17333	6.141	330.87	3.15	1.32	1.74
						
43.62472	-124.18389	77.579	324.09	1.96	1.24	0.36
						
43.61528	-124.18194	57.4	322.72	2.05	1.11	0.37
						
43.57806	-124.17333	8.867	319.43	2.48	1.34	1.51
						
43.5775	-124.17389	9.864	319.28	2.43	0.56	1.5
						
43.57667	-124.1925	8.612	317.39	0.92	0.58	0.36
						
43.56611	-124.20417	8.723	315.87	-0.09	1.28	0.34
						
43.55472	-124.20806	18.263	314.33	-0.49	1.12	1.39
						
43.53361	-124.21528	21.642	311.98	-1.22	1.56	1.34
						
43.42917	-124.23389	5.749	300.44	-3.5	1.31	0.32
						
43.42444	-124.23417	5.741	299.76	-3.55	1.33	1.02
						
43.42444	-124.23417	7.655	299.77	-3.55	1.33	0.32
						
43.41556	-124.22306	18.484	298.38	-2.72	1.21	0.33
						
43.40694	-124.22278	13.86	267.54	-2.77	1.49	0.31
						
43.40694	-124.22472	20.543	267.69	-2.92	1.51	0.31
						
43.40694	-124.23778	5.859	268.75	-3.98	1.53	0.33
						
43.39528	-124.21778	3.902	265.94	-2.45	1.41	0.85
						
43.395	-124.21694	3.856	266.08	-2.39	1.1	0.84
						
43.39361	-124.27639	3.918	273.58	-7.2	1.5	0.31
						
43.39361	-124.27694	14.535	273.43	-7.25	1.61	0.32
						
43.39333	-124.27722	4.307	273.56	-7.27	1.33	0.32
						
43.39333	-124.27694	3.893	273.54	-7.25	1.34	0.31
						
43.39333	-124.27639	3.914	273.64	-7.2	1.42	0.31
						
43.39306	-124.27667	7.137	273.49	-7.23	1.38	0.31
						
43.37389	-124.28861	10.224	275.79	-8.34	1.65	0.32
						
43.36861	-124.21111	4.365	262.75	-2.12	1.05	0.92
						
43.36861	-124.2125	3.876	262.62	-2.23	1.15	0.93
						
43.35611	-124.2	12.031	259.89	-1.32	1.28	0.34
						
43.35583	-124.19778	10.525	260.05	-1.14	1.26	0.34
						
43.35556	-124.20056	12.17	259.85	-1.37	1.12	0.34
						
43.35389	-124.31139	16.281	278.75	-10.34	1.82	0.47
						
43.35	-124.32889	3.723	282.46	-11.79	2.15	0.3
						
43.34972	-124.32833	3.056	282.4	-11.74	1.98	0.3
						
43.34972	-124.32833	6.125	282.35	-11.74	2.17	0.3
						
43.34972	-124.32861	4.337	282.49	-11.77	2.33	0.3
						
43.34722	-124.32778	5.053	282.14	-11.72	2.26	0.31
						
43.34667	-124.32778	5.049	281.94	-11.72	2.21	0.31
						
43.34639	-124.31389	17.634	279.62	-10.6	1.99	0.31
						
43.34444	-124.32639	4.849	281.63	-11.63	2.03	0.31
						
43.33778	-124.36833	17.825	285.15	-15.07	2.38	0.43
						
43.26083	-124.22583	4.512	248.07	-4.18	1.75	1.23
						
43.23222	-124.23278	6.493	243.79	-4.98	1.77	0.35
						
43.19333	-124.22528	5.401	237.98	-4.71	1.61	1.39
						
43.18611	-124.1925	7.659	233.61	-2.12	1.38	1.44
						
43.18167	-124.18361	24.17	232.7	-1.43	1.36	1.45
						
43.18139	-124.25694	6.06	225.06	-7.38	1.65	0.35
						
43.17667	-124.18528	19.437	232.1	-1.61	1.62	0.34
						
43.17611	-124.18528	17.807	232.03	-1.62	1.53	1.45
						
43.17556	-124.18722	16.317	231.91	-1.78	1.61	0.35
						
43.17444	-124.18639	13.375	231.75	-1.72	1.19	0.34
						
43.17444	-124.18639	14.77	231.77	-1.72	1.71	0.34
						
43.15056	-124.17472	10.05	234.65	-0.98	1.92	1.49
						
43.13333	-124.35917	14.213	208.07	-16.09	3.32	0.34
						
43.13222	-124.34	6.111	209.67	-14.54	3.08	1.45
						
43.12444	-124.36778	67.306	206.61	-16.86	3.23	0.32
						
43.12056	-124.41639	6.241	202.46	-20.84	3.46	0.31
						
43.11917	-124.41056	4.048	202.95	-20.38	3.29	0.33
						
43.11889	-124.40333	21.614	203.71	-19.8	3.46	0.33
						
43.11861	-124.38917	29.93	204.76	-18.65	3.2	0.33
						
43.11806	-124.41389	4.123	202.8	-20.66	3.58	0.31
						
43.11528	-123.49528	190.914	90.75	53.83	0.5	0.62
						
43.11417	-124.43417	25.085	204.14	-22.34	3.62	0.33
						
43.11389	-124.41444	23.006	201.47	-20.74	3.55	0.33
						
43.11278	-123.44	160.827	96.4	58.29	0.61	0.64
						
43.11222	-124.29778	7.011	214.85	-11.3	2.38	0.35
						
43.11028	-124.31583	8.503	213.12	-12.78	2.57	1.47
						
43.10611	-123.46389	191.484	94.28	56.3	0.53	0.63
						
43.095	-124.41389	15.707	199.37	-20.87	3.21	1.31
						
43.08944	-124.41389	26.291	198.71	-20.92	3.69	1.3
						
43.08278	-123.57278	222.249	82.89	47.26	-0.03	0.61
						
43.07667	-124.41417	16.186	197.31	-21.06	3.16	1.28
						
43.06583	-123.62917	339.275	77.61	42.53	0.48	0.59
						
43.065	-123.65417	449.626	75.21	40.5	0.21	0.59
						
43.065	-124.14222	28.653	14.97	0.89	1.94	0.4
						
43.06028	-124.41417	22.71	195.47	-21.22	3.58	0.3
						
43.04694	-124.41278	22.178	194.05	-21.23	3.97	0.32
						
43.0375	-123.66917	346.624	71.46	39.02	0.33	0.58
						
43.03472	-123.67361	346.664	70.86	38.63	0.05	0.57
						
43.03139	-124.41333	32.994	192.25	-21.43	3.74	1.19
						
43.01944	-123.91861	60.426	40.75	18.59	0.82	0.49
						
43.01722	-123.985	44.672	34.43	13.18	1.45	0.47
						
43.01611	-123.68833	330.434	68.61	37.24	0.37	0.57
						
43.00333	-124.41444	17.322	189.24	-21.81	3.84	1.13
						
42.99556	-123.72306	317.283	64.32	34.21	0.47	0.56
						
42.99083	-124.41889	37.215	187.78	-22.3	3.72	1.1
						
42.97528	-124.42472	25.873	185.96	-22.94	3.46	0.3
						
42.9625	-124.43278	26.763	184.39	-23.74	3.77	0.28
						
42.9425	-124.44389	18.105	182.06	-24.87	3.52	0.97
						
42.92667	-124.44833	28.163	180.22	-25.42	3.74	0.28
						
42.925	-124.44722	31.474	180.15	-25.35	3.79	0.29
						
42.91278	-124.45417	23.842	178.55	-26.06	3.75	0.89
						
42.89083	-124.46083	31.02	176.09	-26.87	3.22	0.83
						
42.86139	-124.46778	55.714	172.64	-27.81	2.85	0.74
						
42.83278	-124.47778	34.658	169.34	-29	3.09	0.65
						
42.80167	-124.48472	52.121	165.78	-29.98	2.67	0.53
						
42.79611	-124.48639	14.02	165.06	-30.19	3.06	0.51
						
42.77389	-124.49472	31.881	162.47	-31.17	2.68	0.4
						
42.74333	-124.49222	19.285	158.98	-31.39	2.6	0.29
						
42.74306	-124.49472	24.423	159.28	-31.6	2.7	0.27
						
42.74222	-124.48889	7.651	159.25	-31.14	2.66	0.27
						
42.74222	-124.48889	17.882	158.57	-31.14	2.47	0.31
						
42.74167	-124.49833	8.315	159.24	-31.91	2.63	0.27
						
42.74111	-124.49722	5.081	159.68	-31.83	2.56	0.27
						
42.73917	-124.49806	5.875	159.38	-31.93	2.62	0.27
						
42.73694	-124.47583	6.334	159.35	-30.15	2.63	0.27
						
42.69528	-124.44833	124.909	150.15	-28.51	3.07	0.63
						
42.665	-124.41194	60.822	143.63	-26	3.25	0.8
						
42.64417	-124.39806	203.262	140.5	-25.18	2.32	0.87
						
42.61778	-124.39333	44.644	137.2	-25.2	2.98	0.94
						
42.59806	-124.39694	82.159	134.07	-25.8	2.89	1.01
						
42.56083	-124.38167	8.162	128.84	-25.14	3.03	0.29
						
42.56056	-124.38028	6.254	128.86	-25.03	2.89	1.11
						
42.55278	-124.38917	15.282	127.64	-25.87	3.1	0.31
						
42.54278	-124.39528	6.368	126.47	-26.53	3.32	1.15
						
42.51444	-124.40806	9.416	122.91	-28.01	2.87	1.22
						
42.51167	-124.40944	24.785	122.61	-28.17	2.83	1.22
						
42.49056	-124.41583	33.609	121.01	-29.03	2.74	1.25
						
42.46722	-124.38333	12.201	116.53	-26.76	3.3	0.31
						
42.43111	-124.40944	7.049	111.33	-29.47	3.05	1.41
						
42.42917	-124.41139	19.88	110.98	-29.66	3.12	0.31
						
42.42917	-124.41139	4.939	111.38	-29.66	3.43	1.41
						
42.42417	-124.41194	8.404	110.47	-29.78	3.59	1.42
						
42.42389	-124.41139	20.18	110.4	-29.74	3.21	0.33
						
42.41722	-124.41667	23.765	109.45	-30.28	3.18	1.44
						
42.41556	-124.41944	10.356	108.97	-30.54	3.18	1.44
						
42.40778	-124.42	16.557	107.97	-30.71	3.06	0.33
						
42.40139	-124.41944	16.588	107.25	-30.77	2.99	0.33
						
42.38944	-124.41417	8.968	105.6	-30.54	2.99	0.32
						
42.30444	-124.40278	31.756	92.36	-31.05	2.77	1.62
						
42.29194	-124.40139	19.974	90.24	-31.14	3.36	1.63
						
42.28417	-124.39861	60.042	89.12	-31.05	2.96	0.33
						
42.27222	-124.395	8.641	87.5	-30.96	3.59	1.65
						
42.25139	-124.39139	89.451	85.01	-31.02	3.38	1.66
						
42.24694	-124.36806	239.107	81.27	-29.19	2.69	0.34
						
42.24639	-124.36472	250.588	80.92	-28.93	3.22	0.34
						
42.24194	-124.3825	143.268	83.23	-30.45	2.69	0.35
						
42.23	-124.35917	360.99	78.2	-28.75	3.22	1.66
						
42.22639	-124.35917	379.657	77.85	-28.81	3.18	0.33
						
42.19639	-124.32694	462.451	71.74	-26.69	3.25	0.33
						
42.19056	-124.325	422.34	70.96	-26.63	2.61	1.64
						
42.17944	-124.31583	376.832	69.46	-26.07	3.04	0.35
						
42.14694	-124.31389	303.757	65.02	-26.45	3.02	0.34
						
42.13778	-124.31389	313.411	63.87	-26.61	3	0.33
						
42.13222	-124.31056	315.588	63.14	-26.43	3.07	0.33
						
42.12778	-124.30778	318.896	62.27	-26.28	3.18	0.38
						
42.11417	-124.30417	312.512	60.21	-26.21	3.28	1.56
						
42.11	-124.29778	251.794	58.86	-25.76	3.31	1.54
						
42.10917	-124.29694	247.741	58.69	-25.71	3.18	0.32
						
42.09528	-124.29528	169.845	56.75	-25.81	3.32	0.32
						
42.08972	-124.29778	137.62	56.11	-26.11	3.27	0.37
						
42.07167	-124.31	25.599	53.4	-27.41	3.75	1.48
						
42.06833	-124.31167	75.029	53.24	-27.6	3.44	1.48
						
42.06833	-124.31167	76.043	53.25	-27.6	3.56	1.48
						
42.05444	-124.26889	12.742	47.28	-24.34	3.82	1.39
						
42.05389	-124.26694	8.234	47.12	-24.19	3.15	0.32
						
42.05361	-124.26778	8.82	47.12	-24.26	3.65	1.39
						
42.03611	-124.24167	46.202	44.2	-22.42	3.15	1.34
						
42.01167	-124.21444	28.126	40.82	-20.61	3.34	1.29
						
41.99	-124.20444	22.253	37.44	-20.16	3.15	1.23
						
41.92639	-124.16417	7.968	27.91	-17.94	2.39	1.05
						
41.92167	-124.14472	16.252	25.79	-16.42	2.75	0.27
						
41.82194	-124.16389	10.455	13.09	-19.7	2.72	0.72
						
41.79556	-124.18139	9.737	9.56	-21.58	2.23	0.62
						
41.76917	-124.19778	14.019	6.26	-23.38	2.47	0.52
						
41.75667	-124.20333	14.42	2.65	-24.06	2.85	0.24
						
41.75333	-124.19778	10.122	2.28	-23.66	3.32	0.37
						
41.75222	-124.18472	3.692	0.21	-22.6	2.73	0.26
						
41.75139	-124.19583	5.778	1.97	-23.53	2.79	0.35
						
41.75139	-124.1825	4.775	0	-22.44	2.79	0.26
						
41.75028	-124.19639	4.122	1.16	-23.6	2.78	0.26
						
41.74861	-124.19972	4.122	1.5	-23.9	2.69	0.26
						
41.74833	-124.18139	4.499	0.75	-22.4	2.77	0.26
						
41.74583	-124.20083	8.973	2.03	-24.04	2.81	0.26
